,year,assignment1,assignment2,assignment3,assignment4,assignment5,assignment6,assignment7,assignment8,exam1,exam2,texam,finalscore,presence,finalgrade,class
182,2016,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.29,10.0,4,8,7.99,0,MS,G
183,2016,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.71,10.0,10,8,11.02,0,SS,G
184,2016,10.0,10.0,10.0,5.71,10.0,10.0,10.0,4.29,10.0,9,8,10.41,0,SS,G
185,2016,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.29,10.0,3,7,7.29,0,MS,G
186,2016,10.0,10.0,10.0,10.0,10.0,8.57,10.0,4.29,10.0,2,6,6.57,24,MS,G
187,2016,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.29,8.5,10,7,10.38,0,SS,G
188,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,100,SR,G
189,2016,5.71,8.57,5.71,0.0,10.0,10.0,8.57,0.0,0.0,0,0,0.91,50,SR,G
190,2017,10.0,10.0,10.0,7.14,7.14,0.0,0.0,0.0,8.5,3,8,6.48,0,MS,G
191,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,1.4,0,II,H
192,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,95,SR,H
193,2014,8.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.16,90,SR,H
194,2014,10.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1.04,0,II,H
195,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,60,SR,H
196,2015,10.0,8.57,10.0,10.0,10.0,10.0,10.0,10.0,7.0,0,6,4.77,0,MM,H
197,2015,10.0,7.14,7.14,2.86,10.0,10.0,10.0,10.0,4.5,0,8,4.21,0,MI,H
198,2015,7.14,2.86,0.0,0.0,10.0,10.0,7.14,0.0,7.5,0,8,4.55,0,MM,H
199,2015,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.71,10.0,0,9,6.28,0,MM,H
200,2015,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,8.3,2,7,6.2,0,MM,H
201,2015,10.0,10.0,5.71,0.0,10.0,10.0,0.0,10.0,10.0,0,8,5.64,0,MM,H
202,2015,10.0,10.0,8.57,9.86,10.0,7.14,9.86,5.57,0.0,0,5,2.33,0,II,H
203,2016,10.0,10.0,4.29,10.0,10.0,10.0,10.0,7.14,10.0,10,7,10.74,0,SS,H
204,2016,10.0,10.0,0.0,8.57,10.0,10.0,0.0,10.0,8.5,10,8,10.25,0,SS,H
205,2016,10.0,10.0,8.0,10.0,9.0,10.0,10.0,2.71,10.0,10,8,10.91,0,SS,H
206,2016,10.0,10.0,10.0,10.0,10.0,10.0,8.57,10.0,9.5,10,9,11.12,0,SS,H
207,2016,7.14,8.57,7.14,0.0,0.0,0.0,0.0,2.57,7.5,3,7,5.63,0,MM,H
208,2016,10.0,4.29,10.0,10.0,10.0,10.0,10.0,5.71,8.0,0,3,4.31,0,MI,H
209,2016,10.0,0.0,4.29,8.57,10.0,10.0,7.14,0.0,10.0,10,5,9.94,0,SS,H
210,2016,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,9,11.3,0,SS,H
211,2017,10.0,5.71,4.86,10.0,10.0,10.0,10.0,10.0,10.0,10,6,10.52,0,SS,H
212,2017,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,7.5,1,8,5.66,0,MM,H
213,2017,10.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,1.77,40,SR,H
214,2017,10.0,10.0,10.0,10.0,10.0,10.0,8.57,4.29,10.0,0,7,5.77,0,MM,H
215,2017,10.0,4.29,0.0,10.0,10.0,10.0,10.0,0.0,2.0,10,7,8.02,0,MS,H
216,2014,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.08,0,TR,I
217,2014,10.0,10.0,10.0,10.0,2.86,1.43,7.14,4.29,0.0,9,8,7.14,0,MS,I
218,2016,10.0,10.0,8.57,9.14,10.0,10.0,10.0,10.0,10.0,0,9,6.26,0,MM,I
219,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,100,SR,I
220,2017,10.0,10.0,10.0,7.14,10.0,10.0,8.57,0.0,0.0,0,6,2.43,0,II,I
221,2017,10.0,10.0,10.0,7.14,8.57,10.0,1.43,0.0,0.0,0,4,1.87,0,II,I
222,2017,10.0,10.0,10.0,10.0,9.86,4.29,0.0,1.43,10.0,5,8,8.14,0,MS,I
223,2017,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.71,0.0,3,9,4.78,0,MM,I
224,2017,10.0,10.0,10.0,7.14,10.0,10.0,8.57,0.0,0.0,1,6,2.93,0,MI,I
225,2017,10.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.24,90,SR,I
226,2017,4.29,4.29,5.71,7.14,10.0,10.0,1.43,4.43,0.0,0,5,1.89,0,II,I
227,2017,10.0,8.57,10.0,7.14,9.71,10.0,7.14,10.0,0.0,5,9,5.66,0,MM,I
228,2017,10.0,10.0,8.57,10.0,10.0,0.0,0.0,0.0,0.0,2,7,3.31,0,MI,I
229,2017,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10,8,8.1,0,MS,I
230,2017,10.0,8.57,1.43,4.29,0.0,4.43,8.57,2.86,10.0,7,8,8.85,0,SS,I
231,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,100,SR,I
232,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,100,SR,I
233,2017,5.71,5.71,8.57,7.14,6.0,8.57,0.0,0.0,0.0,0,7,2.18,0,II,I
234,2017,10.0,10.0,7.14,8.57,10.0,10.0,8.57,1.43,10.0,0,6,5.43,0,MM,I
235,2017,10.0,10.0,8.57,8.57,9.71,5.71,7.29,8.57,0.0,10,8,7.88,0,MS,I
236,2017,7.43,7.14,7.14,8.29,10.0,7.14,5.57,0.0,1.0,2,7,3.69,0,MI,I
237,2017,10.0,8.57,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0.72,80,SR,I
238,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,TR,I
239,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,TR,I
240,2017,0.0,0.0,7.14,7.14,0.0,6.43,0.0,0.0,0.0,1,7,2.29,0,II,I
241,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,TR,J
242,2011,8.57,1.43,4.29,4.43,10.0,10.0,10.0,0.0,0.0,1,6,2.61,0,MI,J
243,2012,10.0,4.29,2.86,10.0,9.86,7.43,7.14,8.29,10.0,2,9,6.92,0,MS,J
